budget,id,original_title,popularity,release_date,revenue,title,vote_average,vote_count,Collection,genres,ProdCompany_1,ProdCompany_2,ProdCompany_3,release_year,return
0.0,70903,Mata Hari,0.84617,1985-09-05,0.0,Mata Hari,3.5,5.0,,"['Drama', 'Action', 'Thriller', 'Romance']",,,,1985,0.0
0.0,49038,Beauty and the Beast,1.326803,1987-04-01,0.0,Beauty and the Beast,6.5,14.0,,"['Music', 'Romance', 'Family']",,,,1987,0.0
0.0,71750,Sleeping Beauty,0.842996,1987-06-12,0.0,Sleeping Beauty,7.4,6.0,,"['Family', 'Fantasy']",,,,1987,0.0
0.0,50295,Crack House,4e-05,1989-11-10,0.0,Crack House,0.0,0.0,,"['Action', 'Drama']",Cannon Films,Silverman Entertainment,,1989,0.0
0.0,51434,The Fourth War,0.91273,1990-03-08,1305887.0,The Fourth War,5.3,9.0,,"['Drama', 'Thriller']",Aurora Productions LLC,Kodiak Films,,1990,0.0
0.0,38652,River of Death,0.901269,1989-09-29,0.0,River of Death,4.1,9.0,,['Adventure'],Breton Film Productions,Pathe Communications,Cannon International,1989,0.0
0.0,117428,Wild 90,0.059149,1968-01-01,0.0,Wild 90,5.0,1.0,,"['Drama', 'Crime']",,,,1968,0.0
0.0,117424,Maidstone,0.087941,1970-01-01,0.0,Maidstone,5.0,1.0,,,,,,1970,0.0
0.0,31942,Midnight Ride,0.766401,1990-01-01,0.0,Midnight Ride,8.0,2.0,,"['Thriller', 'Action', 'Horror']",,,,1990,0.0
0.0,120386,The Stud,0.857558,1978-08-17,0.0,The Stud,5.0,6.0,Fontaine Khaled Collection,"['Romance', 'Drama']",Artoc Films,,,1978,0.0
0.0,42030,The Naked Cage,0.491114,1986-03-01,0.0,The Naked Cage,5.5,2.0,,"['Action', 'Drama']",Cannon Group,,,1986,0.0
0.0,174383,No Place to Hide,0.303624,1970-12-22,0.0,No Place to Hide,5.0,2.0,,"['Drama', 'Crime', 'Thriller']",Galaxy Films,,,1970,0.0
0.0,163630,Dancers,0.330067,1987-10-09,0.0,Dancers,4.0,1.0,,,,,,1987,0.0
0.0,173638,When the Whales Came,0.41875,1989-03-28,0.0,When the Whales Came,6.7,3.0,,['Drama'],Central Independent Television,American Continental Corp.,Golden Swan,1989,0.0
2000000.0,81475,Julie Darling,0.079137,1983-03-01,0.0,Julie Darling,8.0,2.0,,"['Drama', 'Horror', 'Thriller']",TAT Filmproduktion,Cinequity Corporation,,1983,0.0
0.0,121052,The Birthday Party,0.660685,1968-12-09,0.0,The Birthday Party,5.6,4.0,,"['Thriller', 'Drama', 'Mystery']",American Broadcasting Company (ABC),Palomar Pictures International,,1968,0.0
0.0,81464,"Guru, The Mad Monk",0.041681,1970-01-05,0.0,"Guru, The Mad Monk",5.0,3.0,,['Horror'],,,,1970,0.0
0.0,76172,Monaco Forever,0.589204,1984-01-01,0.0,Monaco Forever,2.8,5.0,,['Comedy'],,,,1984,0.0
0.0,35453,The Last Chase,0.505303,1981-04-01,0.0,The Last Chase,3.8,6.0,,"['Action', 'Adventure', 'Science Fiction']",,,,1981,0.0
0.0,94874,Savage Weekend,0.316384,1979-03-09,0.0,Savage Weekend,4.9,8.0,,"['Horror', 'Thriller']",Cannon Group,Upstate Murder Co.,,1979,0.0
0.0,106682,The Comeback,0.253987,1978-06-16,0.0,The Comeback,6.0,6.0,,"['Horror', 'Mystery', 'Thriller']",Peter Walker (Heritage) Ltd.,,,1978,0.0
0.0,33018,Schizo,0.966239,1976-11-11,0.0,Schizo,6.7,5.0,,"['Drama', 'Horror', 'Mystery', 'Thriller']",Heritage Films,Pete Walker Film Productions,,1976,0.0
0.0,106679,House of Mortal Sin,0.561082,1976-02-03,0.0,House of Mortal Sin,6.9,11.0,,['Horror'],Peter Walker (Heritage) Ltd.,,,1976,0.0
0.0,38446,Frightmare,0.689582,1974-11-05,0.0,Frightmare,6.9,10.0,,"['Horror', 'Thriller']",Peter Walker (Heritage) Ltd.,,,1974,0.0
0.0,86643,House of Whipcord,1.754011,1974-04-19,0.0,House of Whipcord,6.2,14.0,,['Horror'],Peter Walker (Heritage) Ltd.,,,1974,0.0
0.0,36600,The Flesh and Blood Show,0.000844,1972-10-01,0.0,The Flesh and Blood Show,4.8,5.0,,"['Horror', 'Thriller']",Peter Walker (Heritage) Ltd.,,,1972,0.0
0.0,78402,Killer Crocodile,0.425363,1989-11-15,0.0,Killer Crocodile,6.6,7.0,Killer Crocodile Collection,['Horror'],Fulvia Film,,,1989,0.0
0.0,118083,Promises in the Dark,0.684806,1979-11-02,0.0,Promises in the Dark,0.0,0.0,,['Drama'],,,,1979,0.0
0.0,149926,Champions,0.982587,1984-04-20,0.0,Champions,6.0,3.0,,,Embassy Film Associates,,,1984,0.0
0.0,32334,Любовь и голуби,2.372133,1984-01-07,0.0,Love and Pigeons,6.9,20.0,,"['Comedy', 'Romance']",Mosfilm,,,1984,0.0
0.0,317168,Santo vs. las lobas,0.052935,1976-05-13,0.0,Santo vs. the She-Wolves,0.0,0.0,,"['Horror', 'Action', 'Fantasy']",,,,1976,0.0
0.0,52980,仁義なき戦い 広島死闘篇,1.492582,1973-04-28,0.0,"The Yakuza Papers, Vol. 2: Deadly Fight in Hiroshima",7.7,12.0,The Yakuza Papers Collection,"['Drama', 'Action', 'Crime']",TOEI,,,1973,0.0
0.0,52874,仁義なき戦い 代理戦争,0.092295,1973-09-25,0.0,"The Yakuza Papers, Vol. 3: Proxy War",7.2,11.0,The Yakuza Papers Collection,"['Action', 'Drama', 'Crime']",TOEI,,,1973,0.0
0.0,64912,仁義なき戦い 完結篇,0.978531,1974-06-29,0.0,"The Yakuza Papers, Vol. 5: Final Episode",6.8,10.0,The Yakuza Papers Collection,"['Action', 'Drama', 'Crime']",TOEI,,,1974,0.0
0.0,52979,仁義なき戦い 頂上作戦,0.005984,1974-01-15,0.0,"The Yakuza Papers, Vol. 4: Police Tactics",6.1,9.0,The Yakuza Papers Collection,"['Action', 'Crime', 'Drama']",TOEI,,,1974,0.0
0.0,79572,La polizia ringrazia,0.074429,1972-02-25,0.0,Execution Squad,7.5,2.0,,"['Crime', 'Drama']",P.A.C.,Dieter Geissler Filmproduktion,,1972,0.0
0.0,130100,The Brass Legend,0.341996,1956-12-01,0.0,The Brass Legend,7.0,2.0,,"['Western', 'Action']",United Artists,Robert Goldstein Productions,,1956,0.0
0.0,96217,La liga no es cosa de hombres,0.007675,1972-04-03,0.0,La liga no es cosa de hombres,0.0,0.0,,,,,,1972,0.0
0.0,259616,Die Weihnachtsklempner,1.1e-05,1986-03-17,0.0,Die Weihnachtsklempner,0.0,0.0,,['Comedy'],DEFA,,,1986,0.0
0.0,50166,Lucky Luke: La Ballade des Dalton,1.30451,1978-03-10,0.0,Lucky Luke: The Ballad of the Daltons,6.8,17.0,Lucky Luke (Animation) Collection,"['Family', 'Animation', 'Comedy', 'Western']",Dargaud Films,Les Productions René Goscinny,Studios Idéfix,1978,0.0
0.0,33436,Le Cerveau,3.574703,1969-03-07,0.0,The Brain,7.1,37.0,,"['Adventure', 'Comedy', 'Crime']",Paramount Pictures,Dino de Laurentiis Cinematografica,Gaumont International,1969,0.0
0.0,233438,The Fat Spy,0.768536,1966-05-11,0.0,The Fat Spy,2.5,4.0,,['Comedy'],Phillip Productions,,,1966,0.0
0.0,272162,A Dream of Kings,0.879663,1969-01-01,0.0,A Dream of Kings,4.5,2.0,,['Drama'],National General Pictures,,,1969,0.0
0.0,177436,A Man to Remember,0.002701,1938-10-14,0.0,A Man to Remember,0.0,0.0,,"['Romance', 'Drama']",RKO Radio Pictures,,,1938,0.0
0.0,138486,Arrow In The Dust,0.458093,1954-04-25,0.0,Arrow In The Dust,5.2,3.0,,['Western'],Allied Artists Pictures,,,1954,0.0
0.0,180721,Blueberry Hill,0.011064,1988-12-02,0.0,Blueberry Hill,5.0,1.0,,['Drama'],Prism Entertainment,Tri-Coast,Mediacom Filmworks,1988,0.0
0.0,153162,Calling Dr. Kildare,0.78896,1939-04-28,0.0,Calling Dr. Kildare,4.5,2.0,,['Drama'],Metro-Goldwyn-Mayer (MGM),,,1939,0.0
0.0,103164,Copper Canyon,0.341571,1950-11-15,0.0,Copper Canyon,4.6,6.0,,['Western'],Paramount Pictures,,,1950,0.0
0.0,214447,New Year's Day,0.278804,1990-02-09,0.0,New Year's Day,5.5,2.0,,['Comedy'],,,,1990,0.0
0.0,47745,Southside 1-1000,0.229936,1950-11-16,0.0,Southside 1-1000,5.0,1.0,,['Crime'],,,,1950,0.0
0.0,332079,The Judge Steps Out,0.322313,1947-12-15,0.0,The Judge Steps Out,0.0,0.0,,"['Drama', 'Comedy']",RKO Radio Pictures,,,1947,0.0
0.0,42023,Heat,1.352232,1986-01-01,0.0,Heat,5.2,5.0,,"['Action', 'Drama', 'Thriller']",New Century Productions,Elliott Kastner Productions,,1986,0.0
